game_name,persona,preference,reason
Street Fighter 6,2_specificity_seeker,B,"모던 컨트롤·한버튼 입력·월드 투어·유료 캐릭터 밸런스·온라인 랙 등 체감 구체"
The Witcher 3: Wild Hunt,2_specificity_seeker,A,"선택지 스토리·DLC 이름·100시간+·오픈월드 탐험/퀘스트 구조"
A Plague Tale: Innocence,2_specificity_seeker,B,"조준 보조·길 안내·전투/퍼즐·쥐떼 거부감·조작 불친절 등 실경험 구체"
Balatro,2_specificity_seeker,A,"조커·타로·천체 카드·보스 수식어·카드 시너지/전략 변화 등 작동 방식 구체"
Death Stranding,2_specificity_seeker,A,"배송 퀘스트·샘 포터·BB·긴 컷신·반복·PC 4K/60fps 등 실질 정보"
Dragon Age: The Veilguard,2_specificity_seeker,B,"2시간 후 튕김·재시작 후 성능 회복·EA Play 6달러·외형 재탕·액션 스킬 체감"
Star Wars Jedi: Survivor,2_specificity_seeker,A,"프레임드랍·충돌·EA 런처·오프라인 부재·전투/커스텀 개선 장단점 폭넓게"
Dave the Diver,2_specificity_seeker,B,"참치/상어·할인 가치·콘텐츠 많지만 얕음·쿡스타·마우스/키보드 조작 문제"
TEKKEN 8,2_specificity_seeker,B,"랭크 자동 콤보·키 씹힘·캐릭터 추가 비용·개성 약화·사기 기술/자세 증가"
Forza Horizon 5,2_specificity_seeker,A,"멕시코 오픈월드·수집/커스텀·물리 엔진·이벤트 랩·날씨/조명·진행 시스템"
Monster Hunter Rise,2_specificity_seeker,B,"선브레이크 시작 선택·월드보다 라이트·밧줄벌레 성장·일본풍·타격감 약화 비교"
Star Wars Jedi: Fallen Order,2_specificity_seeker,A,"빠른이동 부재·복잡한 지도·길찾기·퍼즐·EA 런처·광선검/반복 전투 문제"
God of War Ragnarök,2_specificity_seeker,A,"크레토스/아트레우스 관계·퍼즐 과다·특정 파트 지루함·PC 4K/DLSS/FSR·PSN 로그인"
Dragon Age: Inquisition,2_specificity_seeker,B,"65시간 플레이·컨트롤/메뉴 UI·패드 지원·버그 진행 중단·MMO식 콘텐츠 비판"
Battlefield 2042,2_specificity_seeker,A,"서버/매칭/버그·대규모 전투·파괴 요소·전통 BF 차이·포털/올아웃/해저드 존"
The Outer Worlds,2_specificity_seeker,B,"메스 이펙트식 행성 이동·동료 동행 재미·인벤토리 사용감·원거리 팝인 문제"
